55.41 1000000
57.98 1025641
58.62 1051282
59.27 1076923
59.57 1102564
58.02 1128205
60.20 1153846
60.53 1179487
59.63 1205128
57.74 1230769
58.28 1256410
54.98 1282051
53.13 1307692
50.40 1333333
49.63 1358974
43.59 1384615
43.16 1410256
49.89 1435897
50.33 1461538
53.97 1487179
56.24 1512820
57.64 1538461
61.34 1564102
59.61 1589743
60.87 1615384
63.25 1641025
63.25 1666666
63.95 1692307
65.02 1717948
65.63 1743589
66.00 1769230
59.38 1794871
62.73 1820512
63.84 1846153
61.72 1871794
63.91 1897435
63.15 1923076
63.23 1948717
61.95 1974358
63.31 1999999

